id,name,cn,val,reference,color,collection
"""300103701410933908120240227KIN""","""SHASANIII""","""CNG29""","""54""","""17KINSHASANIIICNG29KINSHASANIIICLGCLARY""","""GRAYCNG29""","""ARGENT"""
"""300103701410933892120240227KIN""","""SHASANIII""","""CNG29S16""","""54""","""17KINSHASANIIICNG29S16KINSHASANIIICLGCLARY""","""GRAYCNG29S16ARG""","""ENT"""
"""300103701410923244120231227LAG""","""OSIAN""","""CNG1""","""51""","""16LAGOSIANCNG1LAGOSIANCLGCLARY""","""GRAYCNG1OR""","""24KAAA5116140CC505001"""
"""300103701410923237120231227LAG""","""OSIAN""","""CNG13""","""51""","""16LAGOSIANCNG13LAGOSIANCLGCLARY""","""GRAYCNG13OR""","""24K"""
"""300103701410932604120231227LAG""","""OSIAN""","""CNG1S13""","""51""","""16LAGOSIANCNG1S13LAGOSIANCLGCLARY""","""GRAYCNG1S13OR""","""24KBAA5116140CC55550S13DEGRADEC11"""
"""300103701410914396120231227LAG""","""OSIAN""","""CNG2""","""51""","""16LAGOSIANCNG2LAGOSIANCLGCLARY""","""GRAYCNG2OR""","""ET"""
"""300103701410927693120231227LAG""","""OSIAN""","""CNG2S6""","""51""","""16LAGOSIANCNG2S6LAGOSIANCLGCLARY""","""GRAYCNG2S6OR""","""ET"""
"""300103701410923220120231227LAG""","""OSIAN""","""CNG3""","""51""","""16LAGOSIANCNG3LAGOSIANCLGCLARY""","""GRAYCNG3ARGENTA""","""AA5116140CC505001"""
"""300103701410927709120231227LAG""","""OSIAN""","""CNG3S10""","""51""","""16LAGOSIANCNG3S10LAGOSIANCLGCLARY""","""GRAYCNG3S10ARGE""","""NTBAA5116140CC55550S10DEGRADEC11"""
"""300103701410929260120231227LAV""","""AL""","""CNG1""","""58""","""17LAVALCNG1LAVALCLGCLARY""","""GRAYCNG1OR""","""24K"""
"""300103701410929253120231227LAV""","""AL""","""CNG13""","""58""","""17LAVALCNG13LAVALCLGCLARY""","""GRAYCNG13OR""","""24K"""
"""300103701410929246120231227LAV""","""AL""","""CNG14""","""58""","""17LAVALCNG14LAVALCLGCLARY""","""GRAYCNG14OR""","""24K"""
"""300103701410929222120231227LAV""","""AL""","""CNG16""","""58""","""17LAVALCNG16LAVALCLGCLARY""","""GRAYCNG16OR""","""24K"""
"""300103701410929239120240227LAV""","""AL""","""CNG14S11""","""58""","""17LAVALCNG14S11LAVALCLGCLARY""","""GRAYCNG14S11OR""","""24K"""
"""300103701410929215120240227LAV""","""AL""","""CNG16S14""","""58""","""17LAVALCNG16S14LAVALCLGCLARY""","""GRAYCNG16S14OR""","""24K"""
"""300103701410929208120240227LAV""","""AL""","""CNG1S19""","""58""","""17LAVALCNG1S19LAVALCLGCLARY""","""GRAYCNG1S19OR""","""24K"""
"""300103701410932611120231227LEF""","""TCOASTER""","""CNG1""","""55""","""17LEFTCOASTERCNG1LEFTCOASTERCLGCLARY""","""GRAYCNG1OR""","""24KAAA5517145CC505001"""
"""300103701410927440120231227LEF""","""TCOASTER""","""CNG13""","""55""","""17LEFTCOASTERCNG13LEFTCOASTERCLGCLARY""","""GRAYCNG13OR""","""24K"""
"""300103701410928201120231227LEF""","""TCOASTER""","""CNG13S17""","""55""","""17LEFTCOASTERCNG13S17LEFTCOASTERCLGCLARY""","""GRAYCNG13S17OR""","""24K"""
"""300103701410927457120231227LEF""","""TCOASTER""","""CNG14""","""55""","""17LEFTCOASTERCNG14LEFTCOASTERCLGCLARY""","""GRAYCNG14OR""","""24K"""
"""300103701410928225120231227LEF""","""TCOASTER""","""CNG14S8""","""55""","""17LEFTCOASTERCNG14S8LEFTCOASTERCLGCLARY""","""GRAYCNG14S8OR""","""24K"""
